price,arrivals,sowing,rainfall,buffer_stock,,,,
88.73,422,166.76,5.24,5000,,,,
117.54,164,117.23,0.94,4995,,,,
106.6,267,119.23,2.67,4989,,,,
99.93,429,104.09,1.46,4984,,,,
77.8,142,116.89,2.27,4978,,,,
77.8,143,127.86,6.63,4973,,,,
72.9,384,117.7,1.57,4967,,,,
113.31,496,108.87,4.8,4962,,,,
100.06,111,112.06,3.71,4956,,,,
105.4,194,146.08,5.96,4951,,,,
71.03,401,120.63,9.24,4945,,,,
118.5,485,136.43,6.79,4940,,,,
111.62,352,150.34,0.58,4934,,,, 
80.62,341,169.04,-1.63,4929,,,,
79.09,134,103.93,1.15,4923,,,,
79.17,314,179.94,5.14,4918,,,,
85.21,436,162.79,-1.38,4912,,,,
96.24,189,108.18,3.96,4907,,,,
91.6,363,187.36,5.16,4901,,,,
84.56,192,192.09,2.01,4896,,,,
100.59,189,106.11,7.25,4890,,,,
76.97,214,127.69,-0.72,4885,,,,
84.61,204,180.62,-1.1,4879,,,,
88.32,490,174.83,6.74,4874,,,,
92.8,295,118.45,3.95,4868,,,,
109.26,413,120.93,6.26,4863,,,,
79.98,213,137.05,3.22,4857,,,,
95.71,174,148.45,0.96,4852,,,,
99.62,475,161.83,7.83,4846,,,,
72.32,316,136.89,7.59,4841,,,,
100.38,376,146.25,6.34,4835,,,,
78.53,348,174.75,1.27,4830,,,,
73.25,263,103.67,5.08,4824,,,,
117.44,493,125.24,2.33,4819,,,,
118.28,456,171.33,-0.9,4813,,,,
110.42,291,189.52,9.01,4808,,,,
85.23,326,151.17,-0.36,4802,,,,
74.88,276,153.21,9.4,4797,,,,
104.21,198,110.72,3.35,4791,,,,
92.01,135,144.74,0.22,4786,,,,
76.1,195,153.26,4.5,4780,,,,
94.76,251,124.25,8.48,4775,,,,
71.72,250,126.92,6.79,4769,,,,
115.47,289,137.73,7.68,4764,,,,
82.94,323,102.01,5.91,4758,,,,
103.13,136,132.21,6.31,4753,,,,
85.59,367,121.14,8.19,4747,,,,
96,468,132.75,1,4742,,,,
97.34,282,111.98,3.87,4736,,,,
79.24,112,189.05,0.65,4731,,,,
118.48,378,159.36,9.85,4725,,,,
108.76,316,167.91,9.33,4720,,,,
116.97,454,178.92,-1.53,4714,,,,
114.74,460,149.84,6.47,4709,,,,
99.89,385,108.69,9.1,4703,,,,
116.09,372,153.71,0.17,4698,,,,
74.42,468,158.68,4.82,4692,,,,
79.8,161,174.54,8.99,4687,,,,
72.26,183,143.17,-1.59,4681,,,,
86.27,467,112.76,6.37,4676,,,,
89.43,316,128.38,1.57,4670,,,,
83.57,441,136.31,9.09,4665,,,,
111.44,496,164.59,9.65,4659,,,,
87.84,286,157.08,9.33,4654,,,,
84.05,118,135.61,3.69,4648,,,,
97.13,276,198.65,8.34,4643,,,,
77.05,199,160.58,8.13,4637,,,,
110.11,495,123.72,1.83,4632,,,,
73.73,332,110.18,7.95,4626,,,,
119.34,175,115.29,-1.56,4621,,,,
108.61,364,124.6,5.16,4615,,,,
79.94,383,116.07,0.76,4610,,,,
70.28,305,118.66,-0.55,4604,,,,
110.77,322,128.51,-1.08,4599,,,,
105.34,483,117.34,6.36,4593,,,,
106.45,151,189.68,2.08,4588,,,,
108.56,438,108.02,6.7,4582,,,,
73.7,466,152.45,-1.22,4577,,,,
87.92,243,141.04,1.78,4571,,,,
75.79,472,198.24,4.47,4566,,,,
113.16,168,111.2,7.49,4560,,,,
101.16,198,139.79,1.83,4555,,,,
86.54,495,196.95,5.51,4549,,,,
73.18,124,186.55,8.63,4544,,,,
85.55,478,181.71,5.39,4538,,,,
86.26,152,125.79,0.8,4533,,,,
106.48,250,117.09,-1.71,4527,,,,
101.88,243,166.86,8.44,4522,,,,
114.36,156,192.94,-1.74,4516,,,,
93.61,138,155.68,8.5,4511,,,,
75.98,208,157.16,4.35,4505,,,,
105.66,280,128,9.27,4500,,,,
108.04,141,176.95,7.59,4495,,,,
98.06,285,118.7,9.98,4489,,,,
108.55,497,132.37,2.21,4484,,,,
94.69,322,142.54,7.21,4478,,,,
96.14,221,150.76,2.82,4473,,,,
91.38,232,124.24,3.76,4467,,,,
71.27,262,111.48,5.53,4462,,,,
75.39,314,161.06,8.48,4456,,,,
71.57,320,128.86,9.81,4451,,,,
101.82,334,158.12,7.22,4445,,,,
85.72,430,115.44,3.01,4440,,,,
95.43,245,148.11,3.06,4434,,,,
115.38,338,153.26,6.85,4429,,,,
82.46,175,105.18,0.87,4423,,,,
90.52,108,133.66,-0.67,4418,,,,
107.78,173,113.44,2.26,4412,,,,
81.44,352,106.34,1.45,4407,,,,
73.85,329,199,1.56,4401,,,,
84.49,106,132.24,0.8,4396,,,,
78.06,273,180.99,-1.49,4390,,,,
116.48,240,125.46,-1.79,4385,,,,
110.41,267,168.15,9.85,4379,,,,
101.67,269,176.02,3.13,4374,,,,
113.57,492,159.56,2.61,4368,,,,
110.18,382,147.16,6.16,4363,,,,
79.33,221,141.18,0.62,4357,,,,
114.63,293,134.89,9.4,4352,,,,
96.97,104,192.95,7.44,4346,,,,
110.37,128,183.06,-0.93,4341,,,,
114.8,264,196.5,3.01,4335,,,,
85.9,438,112.43,8.55,4330,,,,
75.5,235,173.09,9.34,4324,,,,
81.4,464,193.83,3.61,4319,,,,
91.36,420,118.12,5.36,4313,,,,
110.9,441,106.65,0,4308,,,,
113.04,244,174.11,9.89,4302,,,,
70.35,426,157.45,0.78,4297,,,,
95.54,316,184.18,9.31,4291,,,,
90.87,400,113.98,5.8,4286,,,,
81.11,231,179.53,5.29,4280,,,,
75.99,391,120.16,4.15,4275,,,,
86.88,169,116.37,0.77,4269,,,,
117.15,351,116.43,0.12,4264,,,,
86.16,374,181.46,0.65,4258,,,,
95.94,463,166.52,0.24,4253,,,,
105.15,281,152.31,7.36,4247,,,,
88.18,266,135.88,2.2,4242,,,,
118.59,190,187.72,-1.31,4236,,,,
118.12,301,139.24,9.63,4231,,,,
82.59,445,181.66,8.61,4225,,,,
94.86,118,143.91,9.13,4220,,,,
85.04,138,137.69,9.94,4214,,,,
84.24,225,146.27,0.09,4209,,,,
71.84,272,130.14,2.75,4203,,,,
100.48,240,174.76,7.1,4198,,,,
95.13,341,150.27,6.35,4192,,,,
72.57,319,123.22,-0.15,4187,,,,
83.93,225,189.96,7.79,4181,,,,
