price,arrivals,sowing,rainfall,buffer_stock,,,,
88.73,422,166.76,5.24,5000,,,,
117.54,164,117.23,0.94,4995,,,,
106.6,267,119.23,2.67,4989,,,,
99.93,429,104.09,1.46,4984,,,,
77.8,142,116.89,2.27,4978,,,,
77.8,143,127.86,6.63,4973,,,,
72.9,384,117.7,1.57,4967,,,,
113.31,496,108.87,4.8,4962,,,,
100.06,111,112.06,3.71,4956,,,"price,""arrivals"",""sowing"",""rainfall"",""buffer_stock""",
105.4,194,146.08,5.96,4951,,,,
71.03,401,120.63,9.24,4945,,,,
118.5,485,136.43,6.79,4940,,,,
111.62,352,150.34,0.58,4934,,,, 
80.62,341,169.04,-1.63,4929,,,,
79.09,134,103.93,1.15,4923,,,,
79.17,314,179.94,5.14,4918,,,,
85.21,436,162.79,-1.38,4912,,,,
96.24,189,108.18,3.96,4907,,,,
91.6,363,187.36,5.16,4901,,,,
84.56,192,192.09,2.01,4896,,,,
100.59,189,106.11,7.25,4890,,,,
76.97,214,127.69,-0.72,4885,,,,
84.61,204,180.62,-1.1,4879,,,,
88.32,490,174.83,6.74,4874,,,,
92.8,295,118.45,3.95,4868,,,,
109.26,413,120.93,6.26,4863,,,,
79.98,213,137.05,3.22,4857,,,,
95.71,174,148.45,0.96,4852,,,,
99.62,475,161.83,7.83,4846,,,,
