price,arrivals,sowing,rainfall,buffer_stock,predicted_price,release,reason
88.73,422,166.76,5.24,5000,0.57,No,"Normal Market, No Release"
117.54,164,117.23,0.94,4995,0.56,No,"Normal Market, No Release"
106.6,267,119.23,2.67,4989,0.55,No,"Normal Market, No Release"
99.93,429,104.09,1.46,4984,0.54,No,"Normal Market, No Release"
77.8,142,116.89,2.27,4978,0.53,No,"Normal Market, No Release"
77.8,143,127.86,6.63,4973,0.51,No,"Normal Market, No Release"
72.9,384,117.7,1.57,4967,0.51,No,"Normal Market, No Release"
113.31,496,108.87,4.8,4962,0.51,No,"Normal Market, No Release"
100.06,111,112.06,3.71,4956,0.5,No,"Normal Market, No Release"
105.4,194,146.08,5.96,4951,0.49,No,"Normal Market, No Release"
71.03,401,120.63,9.24,4945,0.49,No,"Normal Market, No Release"
118.5,485,136.43,6.79,4940,0.49,No,"Normal Market, No Release"
111.62,352,150.34,0.58,4934,0.5,No,"Normal Market, No Release"
80.62,341,169.04,-1.63,4929,0.51,No,"Normal Market, No Release"
79.09,134,103.93,1.15,4923,0.5,No,"Normal Market, No Release"
79.17,314,179.94,5.14,4918,0.5,No,"Normal Market, No Release"
85.21,436,162.79,-1.38,4912,0.51,No,"Normal Market, No Release"
96.24,189,108.18,3.96,4907,0.5,No,"Normal Market, No Release"
91.6,363,187.36,5.16,4901,0.51,No,"Normal Market, No Release"
84.56,192,192.09,2.01,4896,0.51,No,"Normal Market, No Release"
100.59,189,106.11,7.25,4890,0.5,No,"Normal Market, No Release"
76.97,214,127.69,-0.72,4885,0.49,No,"Normal Market, No Release"
84.61,204,180.62,-1.1,4879,0.49,No,"Normal Market, No Release"
88.32,490,174.83,6.74,4874,0.5,No,"Normal Market, No Release"
92.8,295,118.45,3.95,4868,0.5,No,"Normal Market, No Release"
109.26,413,120.93,6.26,4863,0.5,No,"Normal Market, No Release"
79.98,213,137.05,3.22,4857,0.5,No,"Normal Market, No Release"
95.71,174,148.45,0.96,4852,0.49,No,"Normal Market, No Release"
99.62,475,161.83,7.83,4846,0.49,No,"Normal Market, No Release"
